date,type,title,f_concept,recordModified,latLong,f_location,json,f_place,id,place,RELS_EXT_isSequenceNumber_literal_ms,PID,label,collection,text_nodes_HOCR_hlt,_version_,name,recordCreated,location,RELS_EXT_isMemberOf_uri_ms
"",JournalIssue,"Nederlandsch-Indie\, oud en nieuw (1923\, volume 008\, nummer 005)",,2014-07-29T08:01:07.505Z,,,"{""pid"":""uuid:faf6269e-8232-460b-8d58-8631396b0634""\,""type"":""JournalIssue""\,""label"":""Nederlandsch-Indie\, oud en nieuw (year 1923\, volume 008\, issue 005)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:5""\,""$"":""Nederlandsch-Indie\, oud en nieuw""}\,""issue"":5\,""language"":""dut""\,""pages"":""1-32""\,""title"":""Nederlandsch-Indie\, oud en nieuw (1923\, volume 008\, nummer 005)""\,""volume"":8}\,""items"":null}",,uuid:faf6269e-8232-460b-8d58-8631396b0634,,,uuid:faf6269e-8232-460b-8d58-8631396b0634,"Nederlandsch-Indie, oud en nieuw (year 1923, volume 008, issue 005)",collection:koloniaal_erfgoed,,1754763637163032576,,2014-07-24T09:00:25.690Z,,
"",JournalIssue,"Locale Belangen (year 1935\, volume 022\, issue 003)",,2014-08-27T08:37:38.871Z,,,"{""pid"":""uuid:f7ee65e4-7ff6-4af2-9049-c9c441501f7b""\,""type"":""JournalIssue""\,""label"":""Locale Belangen (year 1935\, volume 022\, issue 003)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:8""\,""$"":""Locale Belangen""}\,""issue"":""003""\,""language"":""dut""\,""pages"":""33-48""\,""title"":""Locale Belangen (year 1935\, volume 022\, issue 003)""\,""volume"":""022""}\,""items"":null}",,uuid:f7ee65e4-7ff6-4af2-9049-c9c441501f7b,,,uuid:f7ee65e4-7ff6-4af2-9049-c9c441501f7b,"Locale Belangen (year 1935, volume 022, issue 003)",collection:koloniaal_erfgoed,,1754763645487677440,,2014-08-27T08:24:25.596Z,,
"",JournalIssue,"Locale Belangen (year 1935\, volume 022\, issue 005)",,2014-08-27T08:55:46.660Z,,,"{""pid"":""uuid:b2de705a-7c7d-4d09-967e-e4ac62c6c6bb""\,""type"":""JournalIssue""\,""label"":""Locale Belangen (year 1935\, volume 022\, issue 005)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:8""\,""$"":""Locale Belangen""}\,""issue"":""005""\,""language"":""dut""\,""pages"":""65-80""\,""title"":""Locale Belangen (year 1935\, volume 022\, issue 005)""\,""volume"":""022""}\,""items"":null}",,uuid:b2de705a-7c7d-4d09-967e-e4ac62c6c6bb,,,uuid:b2de705a-7c7d-4d09-967e-e4ac62c6c6bb,"Locale Belangen (year 1935, volume 022, issue 005)",collection:koloniaal_erfgoed,,1754763646098997248,,2014-08-27T08:43:54.522Z,,
"",JournalIssue,"Technische mededeeling der Vereeniging voor Locale Belangen te Semarang (year 1939\, issue 014)",,2015-04-16T13:27:05.911Z,,,"{""pid"":""uuid:a593cf42-699f-44ae-9012-7cbeba36dd16""\,""type"":""JournalIssue""\,""label"":""Technische mededeeling der Vereeniging voor Locale Belangen te Semarang (year 1939\, issue 014)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:22""\,""$"":""Technische mededeeling der Vereeniging voor Locale Belangen te Semarang""}\,""issue"":""014""\,""language"":""dut""\,""pages"":""1-15""\,""title"":""Technische mededeeling der Vereeniging voor Locale Belangen te Semarang (year 1939\, issue 014)""}\,""items"":null}",,uuid:a593cf42-699f-44ae-9012-7cbeba36dd16,,,uuid:a593cf42-699f-44ae-9012-7cbeba36dd16,"Technische mededeeling der Vereeniging voor Locale Belangen te Semarang (year 1939, issue 014)",collection:koloniaal_erfgoed,,1754763687184302080,,2015-04-16T13:10:41.908Z,,
"",JournalIssue,"Locale Belangen (year 1938\, volume 025\, issue 009)",,2014-09-01T14:02:09.427Z,,,"{""pid"":""uuid:e8148a74-59fd-4603-b82b-bdf0810a2b91""\,""type"":""JournalIssue""\,""label"":""Locale Belangen (year 1938\, volume 025\, issue 009)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:8""\,""$"":""Locale Belangen""}\,""issue"":""009""\,""language"":""dut""\,""pages"":""129-144""\,""title"":""Locale Belangen (year 1938\, volume 025\, issue 009)""\,""volume"":""025""}\,""items"":null}",,uuid:e8148a74-59fd-4603-b82b-bdf0810a2b91,,,uuid:e8148a74-59fd-4603-b82b-bdf0810a2b91,"Locale Belangen (year 1938, volume 025, issue 009)",collection:koloniaal_erfgoed,,1754763713100906496,,2014-09-01T13:49:57.813Z,,
"",JournalIssue,"Indisch bouwkundig tijdschrift (year 1911\, volume 014\, issue 004)",,2014-09-11T13:06:43.897Z,,,"{""pid"":""uuid:9b6799ac-f434-47d1-80a1-98ea0c6b0fbb""\,""type"":""JournalIssue""\,""label"":""Indisch bouwkundig tijdschrift (year 1911\, volume 014\, issue 004)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:9""\,""$"":""Indisch bouwkundig tijdschrift""}\,""issue"":4\,""language"":""dut""\,""pages"":""1-30""\,""title"":""Indisch bouwkundig tijdschrift (year 1911\, volume 014\, issue 004)""\,""volume"":14}\,""items"":null}",,uuid:9b6799ac-f434-47d1-80a1-98ea0c6b0fbb,,,uuid:9b6799ac-f434-47d1-80a1-98ea0c6b0fbb,"Indisch bouwkundig tijdschrift (year 1911, volume 014, issue 004)",collection:koloniaal_erfgoed,,1754763715577643008,,2014-09-11T11:48:55.537Z,,
"",JournalIssue,"Djawa (year 1938\, volume 018\, inhoudsopgave)",,2014-10-09T08:47:30.194Z,,,"{""pid"":""uuid:bf495f4a-0bbc-4e1a-b498-11e2bb440e25""\,""type"":""JournalIssue""\,""label"":""Djawa (year 1938\, volume 018\, inhoudsopgave)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:12""\,""$"":""Djawa""}\,""issue"":""Inhoudsopgave""\,""language"":""dut""\,""pages"":""1-4""\,""title"":""Djawa (year 1938\, volume 018\, inhoudsopgave)""\,""volume"":""018""}\,""items"":null}",,uuid:bf495f4a-0bbc-4e1a-b498-11e2bb440e25,,,uuid:bf495f4a-0bbc-4e1a-b498-11e2bb440e25,"Djawa (year 1938, volume 018, inhoudsopgave)",collection:koloniaal_erfgoed,,1754763719056818176,,2014-10-09T08:40:04.902Z,,
"",JournalIssue,"De Ingenieur in Nederlandsch-Indie\, year 1935\, volume 002\, issue 003",,2014-10-30T12:58:17.552Z,,,"{""pid"":""uuid:8a204af3-14e5-4795-92f6-b7cb9ed44d72""\,""type"":""JournalIssue""\,""label"":""De Ingenieur in Nederlandsch-Indie\, year 1935\, volume 002\, issue 003""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:15""\,""$"":""De Ingenieur in Nederlandsch-Indie""}\,""issue"":3\,""language"":""dut""\,""pages"":""1-50""\,""title"":""De Ingenieur in Nederlandsch-Indie\, year 1935\, volume 002\, issue 003""\,""volume"":2}\,""items"":null}",,uuid:8a204af3-14e5-4795-92f6-b7cb9ed44d72,,,uuid:8a204af3-14e5-4795-92f6-b7cb9ed44d72,"De Ingenieur in Nederlandsch-Indie, year 1935, volume 002, issue 003",collection:koloniaal_erfgoed,,1754763723300405248,,2014-10-30T12:11:28.658Z,,
"",JournalIssue,"Tijdschrift van het Koninklijk Instituut van Ingenieurs. Afdeeling Nederlandsch-Indie\, (1910 (tweede halfjaar)\, aflevering 001)",,2014-09-10T07:58:34.290Z,,,"{""pid"":""uuid:87ee5dcf-1490-4954-9749-39c5b2a17950""\,""type"":""JournalIssue""\,""label"":""Tijdschrift van het Koninklijk Instituut van Ingenieurs. Afdeeling Nederlandsch-Indie\, (1910 (tweede halfjaar)\, aflevering 001)""\,""datastream-ID"":[""TN""\,""PDF""]\,""meta"":{""abstract"":""Draadlooze telegrafie en telefonie door C.J. de Groot""\,""isPartOf"":{""pid"":""jn:3""\,""$"":""Tijdschrift van het Koninklijk Instituut van Ingenieurs. Afdeeling Nederlandsch-Indië""}\,""issue"":1\,""language"":""dut""\,""pages"":""1-85""\,""title"":""Tijdschrift van het Koninklijk Instituut van Ingenieurs. Afdeeling Nederlandsch-Indie\, (1910 (tweede halfjaar)\, aflevering 001)""}\,""items"":null}",,uuid:87ee5dcf-1490-4954-9749-39c5b2a17950,,,uuid:87ee5dcf-1490-4954-9749-39c5b2a17950,"Tijdschrift van het Koninklijk Instituut van Ingenieurs. Afdeeling Nederlandsch-Indie, (1910 (tweede halfjaar), aflevering 001)",collection:koloniaal_erfgoed,,1754763083942723584,,2014-06-23T11:32:48.325Z,,
"",JournalIssue,"De bouwkundig ambtenaar (year 1933\, bijvoegsel IBT\, issue 012-2)",,2015-02-24T15:14:00.171Z,,,"{""pid"":""uuid:96a1fb68-bd57-432b-80f0-6e133fb11345""\,""type"":""JournalIssue""\,""label"":""De bouwkundig ambtenaar (year 1933\, bijvoegsel IBT\, issue 012-2)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:19""\,""$"":""De bouwkundig ambtenaar""}\,""issue"":""012-2""\,""language"":""dut""\,""pages"":""1-8""\,""title"":""De bouwkundig ambtenaar (year 1933\, bijvoegsel IBT\, issue 012-2)""}\,""items"":null}",,uuid:96a1fb68-bd57-432b-80f0-6e133fb11345,,,uuid:96a1fb68-bd57-432b-80f0-6e133fb11345,"De bouwkundig ambtenaar (year 1933, bijvoegsel IBT, issue 012-2)",collection:koloniaal_erfgoed,,1754763196673032192,,2015-02-24T15:02:51.943Z,,
"",JournalIssue,"Locale Belangen (year 1916\, volume 004\, issue 004)",,2014-07-23T08:18:05.814Z,,,"{""pid"":""uuid:5f04317d-3a3e-4f49-aaf3-66659801a5e4""\,""type"":""JournalIssue""\,""label"":""Locale Belangen (year 1916\, volume 004\, issue 004)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:8""\,""$"":""Locale Belangen""}\,""issue"":""004""\,""language"":""dut""\,""pages"":""101-142""\,""title"":""Locale Belangen (year 1916\, volume 004\, issue 004)""\,""volume"":""004""}\,""items"":null}",,uuid:5f04317d-3a3e-4f49-aaf3-66659801a5e4,,,uuid:5f04317d-3a3e-4f49-aaf3-66659801a5e4,"Locale Belangen (year 1916, volume 004, issue 004)",collection:koloniaal_erfgoed,,1754763219912622080,,2014-07-23T07:44:32.154Z,,
"",JournalIssue,"Locale Belangen (year 1933\, volume 020\, issue 023)",,2014-08-25T14:29:06.139Z,,,"{""pid"":""uuid:fbbefc3e-1e87-40f0-845c-53b9b544b6e9""\,""type"":""JournalIssue""\,""label"":""Locale Belangen (year 1933\, volume 020\, issue 023)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:8""\,""$"":""Locale Belangen""}\,""issue"":""023""\,""language"":""dut""\,""pages"":""355-370""\,""title"":""Locale Belangen (year 1933\, volume 020\, issue 023)""\,""volume"":""020""}\,""items"":null}",,uuid:fbbefc3e-1e87-40f0-845c-53b9b544b6e9,,,uuid:fbbefc3e-1e87-40f0-845c-53b9b544b6e9,"Locale Belangen (year 1933, volume 020, issue 023)",collection:koloniaal_erfgoed,,1754763228287598592,,2014-08-25T14:01:00.038Z,,
"",JournalIssue,"Koloniaal tijdschrift (year 1919\, volume 008\, 2e halfjaar)",,2015-01-19T08:44:15.831Z,,,"{""pid"":""uuid:27a2d991-6ff6-4ef0-a5d3-42c73c5f3f41""\,""type"":""JournalIssue""\,""label"":""Koloniaal tijdschrift (year 1919\, volume 008\, 2e halfjaar)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:10""\,""$"":""Koloniaal tijdschrift""}\,""issue"":""2e halfjaar""\,""language"":""dut""\,""pages"":""1-774""\,""title"":""Koloniaal tijdschrift (year 1919\, volume 008\, 2e halfjaar)""\,""volume"":8}\,""items"":null}",,uuid:27a2d991-6ff6-4ef0-a5d3-42c73c5f3f41,,,uuid:27a2d991-6ff6-4ef0-a5d3-42c73c5f3f41,"Koloniaal tijdschrift (year 1919, volume 008, 2e halfjaar)",collection:koloniaal_erfgoed,,1754763275741954048,,2015-01-15T13:49:48.590Z,,
