date,type,title,f_concept,recordModified,latLong,f_location,json,f_place,id,place,RELS_EXT_isSequenceNumber_literal_ms,PID,label,collection,text_nodes_HOCR_hlt,_version_,name,recordCreated,location,RELS_EXT_isMemberOf_uri_ms
"",Organization,,"polytechnics,universities",2014-06-16T12:50:02.719Z,,,"{""pid"":""po:74""\,""type"":""Organization""\,""label"":""Technische Hochschule Graz""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":[{""pid"":""aat:300006616""\,""$"":""polytechnics""}\,{""pid"":""aat:300006617""\,""$"":""universities""}]\,""place"":{""pid"":""gn:2778067""\,""$"":""Graz""}\,""prefName"":""Technische Hochschule Graz""}\,""items"":{""Person"":{""role"":""student at""\,""pid"":""po:260""\,""label"":""Nobile de Vistarini\, B.A.""\,""place"":{""pid"":""gn:3195506""\,""$"":""Maribor""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}}}",Graz,po:74,Graz,,po:74,Technische Hochschule Graz,collection:koloniaal_erfgoed,,1754750246799278080,Technische Hochschule Graz,2013-11-26T09:43:33.992Z,,
"",Organization,,architectenbureau,2014-09-04T15:58:32.057Z,,,"{""pid"":""po:54""\,""type"":""Organization""\,""label"":""Architectenbureau Ed. Cuypers te Amsterdam""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:900027065""\,""$"":""architectenbureau""}\,""place"":{""pid"":""gn:2759794""\,""$"":""Amsterdam""}\,""prefName"":""Architectenbureau Ed. Cuypers te Amsterdam""}\,""items"":{""Person"":{""role"":""worked at""\,""pid"":""po:252""\,""label"":""Taen Err Toung\, Th.J.""\,""place"":{""pid"":""gn:2950159""\,""$"":""Berlin""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}}}",Amsterdam,po:54,Amsterdam,,po:54,Architectenbureau Ed. Cuypers te Amsterdam,collection:koloniaal_erfgoed,,1754750516307427328,Architectenbureau Ed. Cuypers te Amsterdam,2013-11-25T11:34:42.664Z,,
"",Organization,,contractors,2014-06-16T11:40:02.418Z,,,"{""pid"":""po:288""\,""type"":""Organization""\,""label"":""Souw Lian Tjay""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300025052""\,""$"":""contractors""}\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""prefName"":""Souw Lian Tjay""}\,""items"":null}",Jakarta,po:288,"Jakarta,Jakarta",,po:288,Souw Lian Tjay,collection:koloniaal_erfgoed,,1754751289133105152,Souw Lian Tjay,2014-06-16T11:36:34.923Z,,
"",Organization,,contractors,2014-06-16T11:30:03.534Z,,,"{""pid"":""po:91""\,""type"":""Organization""\,""label"":""Technisch Bureau Biezeveld & Moojen""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300025052""\,""$"":""contractors""}\,""place"":{""pid"":""gn:1650357""\,""$"":""Bandung""}\,""prefName"":""Technisch Bureau Biezeveld & Moojen""}\,""items"":{""Person"":{""role"":""worked at""\,""pid"":""po:205""\,""label"":""Moojen\, P.A.J.""\,""place"":{""pid"":""gn:2752638""\,""$"":""Kloetinge""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}}}",Bandung,po:91,Bandung,,po:91,Technisch Bureau Biezeveld & Moojen,collection:koloniaal_erfgoed,,1754751544292540416,Technisch Bureau Biezeveld & Moojen,2013-11-27T13:54:02.274Z,,
"",Organization,,contractors,2014-06-16T11:30:03.294Z,,,"{""pid"":""po:89""\,""type"":""Organization""\,""label"":""Semarangsche aannemingsmij""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300025052""\,""$"":""contractors""}\,""place"":{""pid"":""gn:1627896""\,""$"":""Semarang""}\,""prefName"":""Semarangsche aannemingsmij""}\,""items"":{""Person"":{""role"":""worked at""\,""pid"":""po:197""\,""label"":""Lutjens\, G.W.A.W.""\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}}}",Semarang,po:89,Semarang,,po:89,Semarangsche aannemingsmij,collection:koloniaal_erfgoed,,1754751639837736960,Semarangsche aannemingsmij,2013-11-27T13:51:11.759Z,,
"",Organization,,"academies (organizations),schools (organizations)",2014-06-16T12:10:01.891Z,,,"{""pid"":""po:61""\,""type"":""Organization""\,""label"":""Academie voor Beeldende Kunsten en Technische Wetenschappen""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":[{""pid"":""aat:300007089""\,""$"":""academies (organizations)""}\,{""pid"":""aat:300266108""\,""$"":""schools (organizations)""}]\,""place"":{""pid"":""gn:2747891""\,""$"":""Rotterdam""}\,""prefName"":""Academie voor Beeldende Kunsten en Technische Wetenschappen""}\,""items"":{""Person"":[{""role"":""student at""\,""pid"":""po:103""\,""label"":""Aalbers\, A.F.""\,""place"":{""pid"":""gn:2747891""\,""$"":""Rotterdam""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""student at""\,""pid"":""po:196""\,""label"":""Lüning\, H.""\,""place"":{""pid"":""gn:2747891""\,""$"":""Rotterdam""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}]}}",Rotterdam,po:61,Rotterdam,,po:61,Academie voor Beeldende Kunsten en Technische Wetenschappen,collection:koloniaal_erfgoed,,1754745994140975104,Academie voor Beeldende Kunsten en Technische Wetenschappen,2013-11-25T14:06:32.835Z,,
"",Organization,,"academies (organizations),schools (organizations)",2014-06-16T13:00:02.118Z,,,"{""pid"":""po:70""\,""type"":""Organization""\,""label"":""Rijksakademie van Beeldende Kunsten""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":[{""pid"":""aat:300007089""\,""$"":""academies (organizations)""}\,{""pid"":""aat:300266108""\,""$"":""schools (organizations)""}]\,""place"":{""pid"":""gn:2759794""\,""$"":""Amsterdam""}\,""prefName"":""Rijksakademie van Beeldende Kunsten""}\,""items"":{""Person"":[{""role"":""student at""\,""pid"":""po:13""\,""label"":""Berlage\, H.P.""\,""place"":{""pid"":""gn:2759794""\,""$"":""Amsterdam""}\,""concept"":[{""pid"":""aat:300264668""\,""$"":""urban designers""}\,{""pid"":""aat:300024987""\,""$"":""architects""}]}\,{""role"":""student at""\,""pid"":""po:290""\,""label"":""Toorop\, J.T.""\,""place"":{""pid"":""gn:1630326""\,""$"":""Purworejo""}\,""concept"":{""pid"":""aat:300025103""\,""$"":""artists""}}]}}",Amsterdam,po:70,Amsterdam,,po:70,Rijksakademie van Beeldende Kunsten,collection:koloniaal_erfgoed,,1754745770047700992,Rijksakademie van Beeldende Kunsten,2013-11-26T09:38:15.781Z,,
"",Organization,,engineers,2014-06-16T11:20:02.715Z,,,"{""pid"":""po:94""\,""type"":""Organization""\,""label"":""Aannemingsbedrijf Selle en de Bruyn""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300025063""\,""$"":""engineers""}\,""name"":""Ingenieurs- en aannemingsbedrijf Selle & De Bruyn""\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""prefName"":""Aannemingsbedrijf Selle en de Bruyn""}\,""items"":{""Person"":[{""role"":""worked at""\,""pid"":""po:226""\,""label"":""Reyerse""\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""worked at""\,""pid"":""po:264""\,""label"":""Vries\, de""\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}]}}",Jakarta,po:94,"Jakarta,Jakarta",,po:94,Aannemingsbedrijf Selle en de Bruyn,collection:koloniaal_erfgoed,,1754745077267169280,"Ingenieurs- en aannemingsbedrijf Selle & De Bruyn,Aannemingsbedrijf Selle en de Bruyn",2013-11-27T14:05:03.891Z,,
"",Organization,,architectenbureau,2014-06-16T09:50:03.077Z,,,"{""pid"":""po:41""\,""type"":""Organization""\,""label"":""Bureau Aalbers en de Waal (Bandoeng)""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:900027065""\,""$"":""architectenbureau""}\,""place"":{""pid"":""gn:1650357""\,""$"":""Bandung""}\,""prefName"":""Bureau Aalbers en de Waal (Bandoeng)""}\,""items"":{""Person"":[{""role"":""worked at""\,""pid"":""po:103""\,""label"":""Aalbers\, A.F.""\,""place"":{""pid"":""gn:2747891""\,""$"":""Rotterdam""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""worked at""\,""pid"":""po:266""\,""label"":""Waal\, R.A. de""\,""place"":{""pid"":""gn:2753376""\,""$"":""IJmuiden""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}]}}",Bandung,po:41,Bandung,,po:41,Bureau Aalbers en de Waal (Bandoeng),collection:koloniaal_erfgoed,,1754746135062249472,Bureau Aalbers en de Waal (Bandoeng),2013-11-25T09:39:23.115Z,,
"",Organization,,architectenbureau,2014-06-13T14:40:03.068Z,,,"{""pid"":""po:33""\,""type"":""Organization""\,""label"":""Architectenbureau I.B.A.""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:900027065""\,""$"":""architectenbureau""}\,""prefName"":""Architectenbureau I.B.A.""}\,""items"":{""Person"":[{""role"":""worked at""\,""pid"":""po:243""\,""label"":""Snuyf\, S.""\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""worked at""\,""pid"":""po:272""\,""label"":""Wiemans\, F.L.""\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}]}}",,po:33,,,po:33,Architectenbureau I.B.A.,collection:koloniaal_erfgoed,,1754742732867239936,Architectenbureau I.B.A.,2013-11-21T15:02:54.024Z,,
